STNAME,ACTIVE,ADDRESS,ASSET,CITY,NAME,ROA,ROE,WEBADDR,ZIP,FLDOFF,REGION
Wisconsin,1,416 Main St.,"91,483",Birnamwood,Banner Banks,1.01,7.68,http://www.bannerbanks.com:80/,54414,Appleton,Chicago
Wisconsin,1,101 West Center Street,"121,601",Dorchester,Advantage Community Bank,1.02,9.5,http://www.advantagecommunity.com:80/,54425,Eau Claire,Chicago
Wisconsin,0,915 Davis,"14,439",Hammond,Hammond State Bank,,, ,54015,Eau Claire,Chicago
Wisconsin,1,501 First Street,"208,220",New Glarus,The Bank of New Glarus,0.98,9.77,http://www.bankofnewglarus.com:80/,53574,Madison,Chicago
Wisconsin,0,Main Street,"11,339",Newton,Newton State Bank,,, ,53063,Appleton,Chicago
Wisconsin,1,905 Center Avenue,"173,960",Oostburg,Oostburg State Bank,0.94,7.28,http://www.oostburgbank.com:80/,53070,Milwaukee,Chicago
Wisconsin,0,102 West Main Street,"40,746",Cambridge,M&I Bank of Cambridge,,, ,53523,Madison,Chicago
Wisconsin,1,1644 Ludington Street,"155,618",Marinette,Farmers & Merchants Bank & Trust,0.14,1.42,http://www.fmmarinette.com:80/,54143,Appleton,Chicago
Wisconsin,1,401 Main Street,"315,949",La Crosse,State Bank Financial,0.97,8.75,http://www.statebankfinancial.com:80/,54601,Madison,Chicago
Wisconsin,1,S2021 County Road U,"156,952",Waumandee,Waumandee State Bank,0.59,6.02,http://www.waumandeebank.com:80/,54622,Eau Claire,Chicago
Colorado,1,200 Clayton Street,"96,277",Brush,The Farmers State Bank of Brush,1.39,8.34,http://www.fsbbrushakron.com:80/,80723,Denver,Dallas
Colorado,0,363 East Elkhorn Avenue,"81,422",Estes Park,United Valley Bank,,, ,80517,Denver,Dallas
Colorado,0,204 South Fourth Street,"99,061",Lamar,Valley State Bank,,, ,81052,Denver,Dallas
Colorado,0,703 San Juan Street,"17,275",Pagosa Springs,"The Citizens Bank of Pagosa Springs, Colorado",,, ,81147,Denver,Dallas
Colorado,0,Main Street,"26,604",Yuma,Farmers State Bank of Yuma,,, ,80759,Denver,Dallas
Connecticut,0,310 State Street,,New London,The Winthrop Bank and Trust Company,,, ,6320,Hartford,New York
Massachusetts,0,One Monarch Place,"6,755,390",Springfield,"Fleet Bank, National Association",,, ,1102,Springfield Ma,New York
Connecticut,0,One Financial Plaza,"35,386",Hartford,The Guaranty Bank and Trust Company,,, ,6101,Hartford,New York
Connecticut,0,28 Main Street,"41,055",Jewett City,The Jewett City Trust Company,,, ,6351,Hartford,New York
Illinois,0,130 S. Main Street,"44,257",Cropsey,Citizens State Bank of Cropsey,,, ,61731,Champaign,Chicago
Illinois,0,312 North Main Street,"44,598",Dix,First State Bank of Dix,,, ,62830,Mount Vernon,Chicago
Illinois,0,202 West Center Street,"19,379",Girard,State Bank of Girard,,, ,62640,Springfield Il,Chicago
Illinois,1,204 Main Street,"192,057",Graymont,State Bank of Graymont,0.94,10.61,http://www.sbofgray.com:80/,61743,Champaign,Chicago
Illinois,0,Walnut Street And Highway 36,"33,206",Hull,Omni Bank,,, ,62343,Springfield Il,Chicago
Illinois,0,105 South Adams,"47,855",Manito,People's State Bank,,,http://www.peoplesstatemanito.com:80/,61546,Springfield Il,Chicago
Illinois,1,Front And Caledonia Streets,"40,339",Olmsted,First State Bank of Olmsted,0.98,9.39, ,62970,Mount Vernon,Chicago
Illinois,1,110 East Main Street,"160,978",Raritan,Raritan State Bank,0.91,10.32,http://www.raritanstatebank.com:80/,61471,Princeton,Chicago
Illinois,1,856 Sparta Street,"77,951",Saint Libory,The Village Bank,0.45,4.91,http://www.villagebank.info:80/,62282,Mount Vernon,Chicago
Illinois,0,One North Constitution Drive,"173,062",Aurora,Benchmark Bank,,, ,60506,Chicago,Chicago
Illinois,0,10 South Villa Avenue,"284,758",Villa Park,Villa Park Trust & Savings Bank,,,http://www.villaparkbank.com:80/,60181,Chicago,Chicago
Illinois,0,102 West Main Street,"123,438",Collinsville,United Illinois Bank of Collinsville,,, ,62234,Mount Vernon,Chicago
Illinois,0,Main Street,"17,413",Bowen,Bowen State Bank,,, ,62316,Springfield Il,Chicago
Illinois,0,435 East North Street,"79,017",Bradley,Bradley Bank,,, ,60915,Champaign,Chicago
Illinois,1,102 South Second Street,"56,374",Cissna Park,Cissna Park State Bank,2.48,25.6,http://www.cpsbonline.com:80/,60924,Champaign,Chicago
Illinois,0,803 Main Street,"28,799",Ashton,"AMCORE Bank, Ashton-Rochelle",,, ,61006,Princeton,Chicago
Illinois,1,1525 East 53rd Street,"401,989",Chicago,Hyde Park Bank and Trust Company,0.48,5.82,http://www.hydeparkbank.net:80/,60615,Chicago,Chicago
Illinois,0,Main Street,"6,383",Cornland,State Bank of Cornland,,, ,62519,Springfield Il,Chicago
Illinois,1,3455 Avenue Of The Cities,"629,926",Moline,Valley Bank,-0.95,-10.53,http://www.valleyb.com:80/,61265,Princeton,Chicago
Illinois,0,15101 South Route 59,"1,092,380",Plainfield,NLSB,,,http://www.nlsb.com:80/,60544,Chicago,Chicago
Illinois,0,2612 Sheridan Road,"109,127",Zion,First of America Bank - Zion,,, ,60099,Chicago,Chicago
Illinois,0,105 West Lincoln Street,"30,852",Lewistown,Farmers State Bank of Lewistown,,, ,61542,Springfield Il,Chicago
Illinois,0,11100 Front Street,"51,428",Mokena,Mokena State Bank,,, ,60448,Chicago,Chicago
Illinois,1,129 West Main,"79,466",Mount Sterling,Farmers State Bank & Trust Co.,0.81,9.86,http://www.fsb-tc.com:80/,62353,Springfield Il,Chicago
Illinois,0,815 South Main Street,"170,258",Princeton,"AMCORE Bank, Princeton",,, ,61356,Princeton,Chicago
Illinois,1,524 North 30th Street,"107,596",Quincy,Town and Country Bank of Quincy,2.59,22.91,http://www.townandcountrybk.com:80/,62301,Springfield Il,Kansas City
Illinois,0,10910 Main Street,"69,017",Richmond,State Financial Bank,,, ,60071,Chicago,Chicago
Illinois,1,6th And Madison Streets,"26,421",Middletown,Middletown State Bank,1.91,20.19, ,62666,Springfield Il,Chicago
Illinois,1,107 North Chestnut,"69,888",Onarga,Federated Bank,-0.69,-5.25,http://www.federatedbank.com:80/,60955,Champaign,Chicago
Illinois,0,219 West Fourth Street,"8,706",Depue,Heritage Bank of Bureau County,,, ,61322,Princeton,Chicago
Illinois,1,304 South Main Street,"129,313",Gifford,The Gifford State Bank,0.96,11.32,http://www.giffordbank.com:80/,61847,Champaign,Chicago
Illinois,0,Main Street,"23,045",Golden,Golden State Bank,,,http://www.goldenstatebk.com:80/,62339,Springfield Il,Chicago
Illinois,1,108 S Main St,"42,032",Hutsonville,Farmers & Merchants Bank of Hutsonville,0.58,3.89, ,62433,Mount Vernon,Chicago
Illinois,1,One Main Street,"21,532",Camp Grove,Camp Grove State Bank,0.26,1.57, ,61424,Princeton,Chicago
Illinois,0,Main Street,,Carlock,Farmers State Bank of Carlock,,, ,61725,Champaign,Chicago
Illinois,1,70 East Main Street,"97,966",Ipava,Ipava State Bank,1.49,17.13,http://www.ipavastatebank.com:80/,61441,Springfield Il,Chicago
Illinois,1,102 West Main Street,"216,445",Lena,Citizens State Bank,1.14,10.74,http://www.csbnow.com:80/,61048,Princeton,Chicago
Illinois,0,5600 South Adams Street,"79,166",Bartonville,Bartonville Bank,,,http://www.bartonvillebank.com:80/,61607,Princeton,Chicago
Illinois,0,209 North East Street,"113,653",Bloomington,Corn Belt Bank,,, ,61701,Champaign,Chicago
Indiana,0,1494 West Main Street,"62,790",Mitchell,The Bank of Mitchell,,, ,47446,Indianapolis,Chicago
Indiana,0,5th Street,"132,438",North Vernon,Union Bank and Trust Company,,, ,47265,Indianapolis,Chicago
Indiana,0,Main Street,"17,724",Poland,Peoples State Bank of Clay County,,, ,47868,Indianapolis,Chicago
Indiana,0,Main Street,"24,220",Etna Green,The Etna Bank,,, ,46524,Indianapolis,Chicago
Indiana,0,Main Street,"68,376",New Ross,Farmers State Bank,,, ,47968,Indianapolis,Chicago
Indiana,1,125 West Mcclain Avenue,"127,457",Scottsburg,The Scott County State Bank,0.94,7.36,http://www.scottcountystatebank.com:80/,47170,Indianapolis,Chicago
Iowa,1,241 Center,"21,480",Elgin,Elgin State Bank,-0.11,-1.35, ,52141,Cedar Rapids,Kansas City
Iowa,0,200 Main Street,"13,285",Fayette,State Bank of Fayette,,, ,52142,Cedar Rapids,Kansas City
Iowa,1,140 Holiday Road,"79,086",Coralville,Freedom Security Bank,0.37,3.13,http://www.fs-bank.com:80/,52241,Cedar Rapids,Kansas City
Iowa,1,2235 Mormon Trek Boulevard,"113,082",Iowa City,Farmers and Merchants Savings Bank,0.47,3.96,http://www.fmbankonline.com:80/,52246,Cedar Rapids,Kansas City
Iowa,1,206 First Street West,"98,104",Mount Vernon,Mount Vernon Bank and Trust Company,2.04,14.99,http://www.mountvernonbank.com:80/,52314,Cedar Rapids,Kansas City
Iowa,0,231 West Second Street,"63,843",Ottumwa,"Norwest Bank Ottumwa, National Association",,, ,52501,Des Moines,Kansas City
Iowa,0,400-404 Main Street,"17,353",Allison,State Bank of Allison,,, ,50602,Des Moines,Kansas City
Iowa,1,500 Audubon Street,"113,444",Sac City,Iowa State Bank,1.53,15.19,http://www.scsbank.com:80/,50583,Sioux City,Kansas City
Iowa,0,Washington Street And 14th Avenue,"7,615",Eldora,First National Bank of Eldora,,, ,50627,Des Moines,Kansas City
Iowa,0,102 South Main Street,"20,654",New Sharon,Taintor Savings Bank,,, ,50207,Des Moines,Kansas City
Iowa,1,3542 168th Street,"93,768",Wever,Farmers Savings Bank,1.06,11.4,http://www.fsbwever.com:80/,52658,Cedar Rapids,Kansas City
Kansas,0,Highway 54,"9,604",Bronson,The Bank of Bronson,,, ,66716,Springfield Mo,Kansas City
Kansas,1,922 Main Street,"101,399",Goodland,BANKWEST OF KANSAS,1.12,9.09,http://www.ebankwest.com:80/,67735,Hays,Kansas City
Kansas,1,206 N. Pennsylvania Ave.,"61,575",Ness City,The First State Bank,1.47,9.74,http://www.fsbnesscity.com:80/,67560,Hays,Kansas City
Kansas,1,236 North Main Street,"106,796",Ottawa,The Kansas State Bank,0.23,2.26,http://www.mykansasstatebank.com:80/,66067,Kansas City,Kansas City
Kansas,0,102 North Main Street,"28,248",Sylvan Grove,Thunder Bank,,, ,67481,Hays,Kansas City
Kansas,0,Main Street,"4,267",Dexter,"Farmers State Bank of Dexter, Kansas",,, ,67038,Wichita,Kansas City
Kansas,1,501 Madison Street,"68,819",Fredonia,The State Bank of Kansas,2.15,15.1,http://www.statebankks.com:80/,66736,Wichita,Kansas City
Kansas,0,North 3rd And West Main Street,"8,392",Madison,Madison Bank,,, ,66860,Wichita,Kansas City
Kansas,0,5429 Turner Road,"19,323",Kansas City,The Turner State Bank,,, ,66116,Kansas City,Kansas City
Kentucky,0,Main Street,"105,423",Greensburg,Deposit Bank & Trust Co.,,, ,42743,Elizabethtown,Chicago
Kentucky,0,500 West Jefferson Street,"4,877,290",Louisville,"PNC Bank, Kentucky, Inc.",,, ,40202,Elizabethtown,New York
Kentucky,1,2959 Shorttown Road,"47,842",Middleburg,"Farmers Deposit Bank of Middleburg, Inc.",0.41,3.55,http://www.farmersdeposit.com:80/,42541,Lexington,Chicago
Kentucky,0,East Main Street,"40,437",Scottsville,"Kentucky State Bank of Scottsville, Kentucky",,, ,42164,Hopkinsville,Chicago
Kentucky,0,1201 U.S. 68,"45,884",Maysville,Community First Bank,,, ,41056,Lexington,Dallas
Kentucky,1,114 West Main Street,"120,107",Morehead,The Citizens Bank,0.51,5.27,http://www.tcbanytime.com:80/,40351,Lexington,Chicago
Kentucky,0,14973 Walton-Verona Road,"31,837",Verona,"Star Bank, Northern Kentucky",,, ,41092,Lexington,Chicago
Kentucky,0,301 East Main Street,"81,270",Warsaw,Community First Bank of Kentucky,,, ,41095,Elizabethtown,Chicago
Louisiana,1,326 North Avenue G,"328,103",Crowley,Bank of Commerce & Trust Co.,0.73,6.59,http://www.bankofcommerceandtrust.com:80/,70526,Baton Rouge,Dallas
Louisiana,0,Hico Street,"27,337",Dubach,Dubach State Bank,,, ,71235,Shreveport,Dallas
Louisiana,0,1504 Hospital Avenue,"98,811",Franklin,The St. Mary Bank and Trust Company,,, ,70538,Baton Rouge,Atlanta
Louisiana,1,Mechanic Street And Highway 171 North,"76,209",Leesville,The Vernon Bank,1.35,15.55,http://www.thevernonbank.com:80/,71446,Shreveport,Dallas
Louisiana,0,300 Desiard Street,"782,449",Monroe,Central Bank,,, ,71201,Shreveport,Chicago
Louisiana,1,700 Front Street,"116,451",Natchitoches,"Exchange Bank and Trust Company, Natchitoches, Louisiana",1.42,10.33,http://www.exchange-bank.com:80/,71457,Shreveport,Dallas
Louisiana,1,3540 Front Street,"81,767",Winnsboro,Citizens Progressive Bank,3.64,26.15,http://www.cpbonline.com:80/,71295,Shreveport,Dallas
Louisiana,1,301 Mound Street,"105,006",Jonesville,Catahoula - LaSalle Bank,0.66,5.95,http://www.catlabank.com:80/,71343,Shreveport,Dallas
Louisiana,1,3875 Front Street,"129,664",Winnsboro,Winnsboro State Bank & Trust Company,1.58,15.24,http://www.winnsborobank.com:80/,71295,Shreveport,Dallas
Louisiana,1,301 North Pine Street,"224,661",Deridder,City Savings Bank & Trust Company,2.24,19.48,http://www.citysavingsbank.com:80/,70634,Shreveport,Dallas
Massachusetts,0,307 Main Street,"1,282,972",Hyannis,"Cape Cod Bank and Trust, National Association",,,http://www.ccbt.com:80/,2601,South Boston,New York
Massachusetts,0,127 State Street,"528,150",Springfield,Shawmut First Bank and Trust Company,,, ,1101,Springfield Ma,New York
Massachusetts,0,1500 Main Street,"908,812",Springfield,BayBank Valley Trust Company,,, ,1103,Springfield Ma,New York
Massachusetts,0,43 Taunton Green,,Taunton,Bristol County Trust Company,,, ,2780,South Boston,New York
Massachusetts,0,25 Needham Street,"318,836",Newton,"University Bank, National Association",,, ,2458,North Boston,New York
Michigan,0,171 North State Street,"37,666",Caro,"The Peoples State Bank of Caro, Michigan",,, ,48723,Detroit,Chicago
Michigan,0,1 East Broad Street,"65,572",L'anse,Commercial National Bank of L'Anse,,, ,49946,Appleton,Chicago
Michigan,0,305 East Huron Avenue,"121,311",Bad Axe,First of America Bank - Thumb Area,,, ,48413,Detroit,Chicago
Michigan,0,Main Street,,Carson City,The State Bank of Carson City,,, ,48811,Grand Rapids,Chicago
Michigan,0,139 North Midland Street,"9,868",Merrill,The Farmers and Merchants State Bank of Merrill,,, ,48637,Detroit,Chicago
Michigan,0,201 East Walker Street,"113,879",St. Johns,Old Kent Bank of St. Johns,,, ,48879,Detroit,Chicago
Michigan,0,Trimountain Avenue,"79,267",South Range,North Country Bank,,, ,49963,Appleton,Chicago
Michigan,0,101 East Main Street,"1,378,649",Zeeland,FMB-First Michigan Bank,,, ,49464,Grand Rapids,Chicago
Minnesota,1,123 Main Street South,"35,399",Clearbrook,First State Bank of Clearbrook,1.12,10.57,http://www.fsbclearbrook.com:80/,56634,Grand Forks,Kansas City
Minnesota,1,601 N. Broadway,"93,794",Hartland,Farmers State Bank of Hartland,1.04,11.07,http://www.farmersstatebankmn.com:80/,56042,Minneapolis,Kansas City
Minnesota,0,Main Street,"56,963",Hector,Rural American Bank - Hector/Fairfax,,,http://www.hectorbank.com:80/,55342,Mankato,Kansas City
Minnesota,0,121 West Wall,"17,197",Jasper,Jasper State Bank,,,http://www.jasperstatebank.com:80/,56144,Sioux Falls,Kansas City
Minnesota,0,Main Street,"27,537",Lakefield,First State Bank of Lakefield,,, ,56150,Mankato,Kansas City
Minnesota,0,Main Street,"4,322",London,London State Bank,,, ,56061,Minneapolis,Kansas City
Minnesota,1,34 Main Street,"60,699",Madelia,"Farmers State Bank of Madelia, Incorporated",1.11,10.51,http://www.madelia.com:80/,56062,Mankato,Kansas City
Minnesota,1,105 Central Avenue,"24,124",New London,United Minnesota Bank,1.16,13.7,http://www.umbnl.com:80/,56273,Mankato,Kansas City
Minnesota,1,516 Main Street,"70,619",Ogema,"Community Development Bank, FSB",0.57,5.72,http://www.comdevbank.com:80/,56569,Fargo,Kansas City
Minnesota,0,4700 Clark Avenue,"123,255",White Bear Lake,"First Bank White Bear Lake, National Association",,, ,55110,Minneapolis,Kansas City
Minnesota,0,730 Center Avenue,"145,622",Moorhead,American Bank Moorhead,,, ,56560,Fargo,Kansas City
Minnesota,1,210 North Main Street,"30,560",Alpha,Farmers and Merchants State Bank of Alpha,0.42,3.9,http://www.famstatebankofalpha.com:80/,56111,Mankato,Kansas City
Minnesota,0,771 East Lake Street,"69,484",Wayzata,"First Bank Anoka, National Association",,, ,55391,Minneapolis,Kansas City
Minnesota,0,329 Main Street,"18,479",Courtland,Courtland State Bank,,, ,56021,Mankato,Kansas City
Minnesota,0,102 North Broadway,"43,512",Crookston,First American Bank of Crookston,,, ,56716,Grand Forks,Kansas City
Minnesota,0,Main Street,"11,472",Hardwick,Hardwick State Bank,,, ,56134,Sioux Falls,Kansas City
Minnesota,1,3 Main Ave N,"82,796",Harmony,First Southeast Bank,1.65,18.32,http://www.firstsoutheastbank.com:80/,55939,Minneapolis,Kansas City
Minnesota,0,206 South Broadway,"223,171",Rochester,"Marquette Bank Rochester, National Association",,, ,55901,Minneapolis,Kansas City
Minnesota,0,Main Street,"17,237",Wood Lake,First Independent Bank of Wood Lake,,, ,56297,Sioux Falls,Kansas City
Minnesota,0,Main Street,"24,122",Goodhue,Goodhue State Bank,,, ,55027,Minneapolis,Kansas City
Minnesota,0,303 6th Avenue,"31,707",Madison,United Prairie Bank - Madison,,,http://www.unitedprairiebank.com:80/,56256,Fargo,Kansas City
Minnesota,1,19765 Highway 7,"302,871",Shorewood,Beacon Bank,0.8,7.69,http://www.beaconbank.com:80/,55331,Minneapolis,Kansas City
Minnesota,1,111 North Tyler St,"18,607",Tyler,"Citizens State Bank of Tyler, Incorporated",0.04,0.49,http://www.csbtylermn.com:80/,56178,Sioux Falls,Kansas City
Mississippi,0,200 Main Street,"35,907",Starkville,Peoples Bank,,, ,39759,Jackson Ms,Dallas
Mississippi,0,Main Street,"93,872",Taylorsville,Smith County Bank,,, ,39168,Jackson Ms,Dallas
Mississippi,1,College Avenue And Alderson Street,"99,011",Holly Springs,First State Bank,0.23,2.08,http://www.firststatenet.com:80/,38635,Memphis,Dallas
Mississippi,0,127 Front Street,"117,357",Iuka,Iuka Guaranty Bank,,, ,38852,Jackson Ms,Dallas
Mississippi,0,State Highway 305 And Goodman Road,"11,365",Olive Branch,Bank of Olive Branch,,, ,38654,Memphis,Dallas
Mississippi,0,20 South Main Street,"28,723",Sardis,Bank of Sardis,,, ,38666,Memphis,Dallas
Mississippi,1,9 Main Street,"105,168",Meadville,Bank of Franklin,0.71,8.37,http://www.bankoffranklin.com:80/,39653,Jackson Ms,Dallas
Missouri,1,915 West Fort Scott Street,"155,545",Butler,Community First Bank,1.43,15.49,http://www.communityfirstbank.net:80/,64730,Kansas City,Kansas City
Missouri,1,113 E. South Front St.,"36,544",Orrick,The Bank of Orrick,-0.85,-8.44,http://www.bankoforrick.com:80/,64077,Kansas City,Kansas City
Missouri,0,1701 South Belt Highway,"50,867",St. Joseph,"Farmers State Bank, St. Joseph, Missouri",,, ,64507,Kansas City,Kansas City
Missouri,0,Highway 21 And Highway 106,"228,385",Ellington,Sun Security Bank of America,,, ,63638,St. Louis,Kansas City
Missouri,0,101 West Third Street,"9,795",Grant City,Farmers Bank of Grant City/Sheridan,,, ,64456,Kansas City,Kansas City
Missouri,1,109 N. Main St,"166,172",Urbana,The Bank of Urbana,1.16,7.42,http://www.bankofurbana.com:80/,65767,Springfield Mo,Kansas City
Missouri,0,Main Street,"4,261",Harwood,Bank of Harwood,,, ,64750,Springfield Mo,Kansas City
Missouri,1,625 Veterans Drive,"231,507",Mineral Point,UNICO Bank,0.95,10.02,http://www.unicobank.com:80/,63660,St. Louis,Kansas City
Missouri,0,101 West Main Street,"114,793",Jackson,Cape County Bank,,, ,63755,St. Louis,Kansas City
Missouri,0,400 West Bridge Street,"18,966",Keytesville,Bank of Keytesville,,, ,65261,Columbia Mo,Kansas City
Missouri,1,814 North Walnut,"20,844",Cameron,Horizon State Bank,-0.32,-3.98,http://www.horizonstatebank.com:80/,64429,Kansas City,Kansas City
Missouri,0,301 North Main,"31,744",Paris,United Missouri Bank of Paris,,, ,65275,Columbia Mo,Kansas City
Missouri,1,201 West Maple,"42,901",Slater,State Bank of Slater,0.79,6.61,http://www.statebankofslater.com:80/,65349,Columbia Mo,Kansas City
Missouri,0,100 South Hudson,"25,373",Buckner,First State Bank of Missouri,,, ,64016,Kansas City,Kansas City
Missouri,1,3606 Miller Street,"340,468",Bethany,BTC Bank,1.46,13.43,http://www.btcbank.com:80/,64424,Kansas City,Kansas City
Missouri,1,132 East High Street,"1,187,025",Jefferson City,Hawthorn Bank,0.59,5.54,http://www.hawthornbank.com:80/,65101,Columbia Mo,Kansas City
Missouri,1,1514 Main Street,"81,822",Scott City,Security Bank and Trust Company,0.87,10.38,http://www.sbtco.com:80/,63780,St. Louis,Kansas City
Missouri,1,First And Main Streets,"224,491",Gideon,First Commercial Bank,0.52,5.76,http://www.firstcb.net:80/,63848,St. Louis,Kansas City
Missouri,1,101 N.W. 2nd Street,"79,818",Concordia,State Bank of Missouri,0.89,10.58,http://www.gostatebank.com:80/,64020,Kansas City,Kansas City
Missouri,0,199 West Jackson,"5,381",Linneus,Linn County State Bank,,, ,64653,Columbia Mo,Kansas City
Missouri,1,200 S. Main St.,"33,845",New Cambria,Bank of New Cambria,0.16,1.62,http://www.banknewcambria.com:80/,63558,Columbia Mo,Kansas City
Missouri,1,205 Main St,"79,172",Rothville,Preferred Bank,1.87,18.91,http://www.mypfbank.com:80/,64676,Columbia Mo,Kansas City
Missouri,1,101 West Main Street,"94,325",Steele,Bank Star of the BootHeel,1.32,15.64,http://www.bank-star.com:80/,63877,St. Louis,Kansas City
Nebraska,0,122 South Walnut,"13,044",Arnold,Arnold State Bank,,, ,69120,Grand Island,Kansas City
Nebraska,0,Main Street,"3,918",Burchard,State Bank of Burchard,,, ,68323,Omaha,Kansas City
Nebraska,0,13259 Millard Avenue,"62,781",Omaha,Bank of Millard,,, ,68137,Omaha,Kansas City
Nebraska,1,1401 N Street,"3,228,670",Lincoln,Pinnacle Bank,1.87,18.16,http://www.pinnbank.com:80/,68508,Omaha,Kansas City
Nebraska,1,215 Main St,"11,022",Steinauer,The Bank of Steinauer,1.19,13.6,http://www.bankofsteinauer.com:80/,68441,Omaha,Kansas City
Nebraska,0,Main Street,"39,957",Blue Hill,The Commercial Bank,,, ,68930,Grand Island,Kansas City
Nebraska,1,623 Patterson,"84,003",Cambridge,First Central Bank,0.92,9.65,http://www.firstcentral.com:80/,69022,Grand Island,Kansas City
Nebraska,1,900 Lake,"123,768",Gothenburg,Gothenburg State Bank,1.77,14.29,http://www.gothenburgstatebank.com:80/,69138,Grand Island,Kansas City
Nebraska,0,Main Street,,Hay Springs,Northwestern State Bank,,, ,69347,Grand Island,Kansas City
Nebraska,1,223 Main Street,"33,289",Talmage,Tri Valley Bank,2.07,26.25,http://www.banktrivalley.com:80/,68448,Omaha,Kansas City
Nebraska,0,1504 L Street,"57,269",Ord,United Nebraska Bank,,, ,68862,Grand Island,Kansas City
Nebraska,1,624 Main St,"117,185",Ansley,Security State Bank,1.91,24.26, ,68814,Grand Island,Kansas City
Nebraska,1,111 Main Street,"26,028",Odell,State Bank of Odell,3.74,38.39,http://www.statebankofodell.com:80/,68415,Omaha,Kansas City
Nebraska,0,Main Street,341,Wallace,Citizens Security Bank,,, ,69169,Grand Island,Kansas City
Nebraska,0,224 Box Butte Avenue,"279,062",Alliance,Community First National Bank,,, ,69301,Grand Island,Kansas City
Nebraska,1,151 North 4th Street,"42,569",Elmwood,American Exchange Bank,1.23,10.39,http://www.aebank.com:80/,68349,Omaha,Kansas City
Nebraska,1,218 Main Street,"79,503",Louisville,Home State Bank,2.51,19.7,http://www.hsbonline.com:80/,68037,Omaha,Kansas City
Nebraska,1,220 E Nebraska St,"18,421",Ewing,Farmers State Bank,1.1,4.62, ,68735,Sioux City,Kansas City
Nebraska,1,102 West Main Street,"45,286",Murray,The Murray State Bank,0.5,3.15,http://www.murraystatebank.com:80/,68409,Omaha,Kansas City
Ohio,0,357-63 Main Street,"46,312",Huron,The Firelands Community Bank,,, ,44839,Columbus,Chicago
Ohio,0,West Buckeye Street,"85,894",Clyde,The Clyde Savings Bank Company,,, ,43410,Columbus,Chicago
Ohio,0,1255 Euclid Avenue,"89,431",Cleveland,The Continental Bank,,, ,44115,Columbus,Chicago
Ohio,0,106 Ainsworth Street,"22,464",Lodi,The Medina County Bank,,, ,44254,Columbus,Chicago
Ohio,0,225 North Main Street,"928,548",Celina,Community First Bank & Trust,,,http://www.comfirst.com:80/,45822,Columbus,Chicago
Ohio,0,101 East Elm Street,"88,982",Union City,The Farmers State Bank of Union City,,, ,45390,Columbus,Chicago
Ohio,1,19 Public Square,"331,204",Andover,The Andover Bank,1.14,11.62,http://www.andoverbankohio.com:80/,44003,Columbus,Chicago
Ohio,0,88 East Broad Street,"688,498",Columbus,Society Bank,,, ,43215,Columbus,Chicago
Ohio,0,120 Twin Oaks Drive,"1,008,346",Jackson,Oak Hill Banks,,,http://www.oakhillbanks.com:80/,45640,Columbus,Chicago
Oklahoma,1,14821 South Memorial,"667,864",Bixby,Citizens Security Bank & Trust Company,1.19,14.46,http://www.citizenssecurity.com:80/,74008,Tulsa,Dallas
Oklahoma,0,Main Street,"4,291",Tryon,Farmers & Merchants Bank,,, ,74875,Tulsa,Dallas
Oklahoma,0,511 West Will Rogers Boulevard,"52,385",Claremore,"Bank of Oklahoma, Claremore",,, ,74017,Tulsa,Dallas
Oklahoma,0,200 East Main Street,"9,943",Jenks,"Bank of Commerce, Jenks, Oklahoma",,, ,74037,Tulsa,Dallas
Oklahoma,1,300 West Rogers,"92,374",Skiatook,The Exchange Bank,0.47,5.4,http://www.exb-ok.com:80/,74070,Tulsa,Dallas
Oklahoma,0,Main Street,"24,000",Fairview,"Fairview State Bank of Fairview, Okla.",,, ,73737,Oklahoma City,Dallas
Oklahoma,1,146 West Main Street,"116,079",Hydro,Bank of Hydro,2.67,33.34,http://www.bankofhydro.com:80/,73048,Oklahoma City,Dallas
Oklahoma,0,Main Street,"39,160",Wetumka,"The Bank of Commerce, Wetumka, Oklahoma",,, ,74883,Tulsa,Dallas
Oklahoma,0,430 South Main,"40,544",Hobart,Home State Bank,,, ,73651,Oklahoma City,Dallas
Pennsylvania,1,2 West Market Street,"395,564",Jonestown,"Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",1.03,10.92,http://www.bankjbt.com:80/,17038,Harrisburg,New York
Pennsylvania,1,2 N Main Street,"310,129",Muncy,The Muncy Bank and Trust Company,2.07,21.84,http://www.muncybank.com:80/,17756,Wexford,New York
Pennsylvania,0,10 North Michael Street,"108,320",St. Marys,First Laurel Bank,,, ,15857,Wexford,New York
Pennsylvania,0,1 East Independence Street,"36,305",Shamokin,"The Guarantee Trust and Safe Deposit Company of Shamokin, Pa.",,, ,17872,Harrisburg,New York
Pennsylvania,0,108 East Main Street,"65,674",Somerset,The County Trust Company,,, ,15501,Wexford,New York
Pennsylvania,1,250 East Chestnut Street,"322,164",Mifflinburg,Mifflinburg Bank and Trust Company,1.16,11.31,http://www.mbtc.com:80/,17844,Harrisburg,New York
Pennsylvania,1,150 Pittsburgh Street,"245,050",Scottdale,The Scottdale Bank & Trust Company,1.08,6.07,http://www.sbtbank.com:80/,15683,Wexford,New York
Tennessee,0,450 South Main Street,"51,544",Milan,First American National Bank of Milan,,, ,38358,Memphis,Dallas
